object_type,clr_property,enum_type,members
Splitter,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Splitter,OperationMode,DWSIM.UnitOperations.UnitOperations.Splitter+OpMode,"SplitRatios,StreamMassFlowSpec,StreamMoleFlowSpec"
Splitter,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Switch,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Switch,SelectedPropertyType,DWSIM.Interfaces.Enums.UnitOfMeasure,"accel,activity,activityCoefficient,area,boilingPointTemperature,cakeresistance,cinematic_viscosity,compressibility,compressibilityFactor,deltaP,deltaT,density,diameter,distance,enthalpy,entropy,excessEnthalpy,excessEntropy,force,foulingfactor,fugacity,fugacityCoefficient,gor,head,heat_transf_coeff,heatCapacityCp,heatCapacityCv,heatflow,idealGasHeatCapacity,jouleThomsonCoefficient,kvalue,logFugacityCoefficient,logKvalue,mass,mass_conc,massflow,massfraction,mediumresistance,meltingTemperature,molar_conc,molar_enthalpy,molar_entropy,molar_volume,molarflow,molarfraction,molecularWeight,pressure,reac_rate,reac_rate_heterog,spec_vol,speedOfSound,surfaceTension,temperature,thermalConductivity,thermalConductivityOfLiquid,thermalConductivityOfVapor,thickness,time,vaporPressure,velocity,viscosity,viscosityOfLiquid,viscosityOfVapor,volume,volumetricFlow,diffusivity,none,conductance,heat,mole,emission_factor,specificpower"
Switch,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Tank,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Tank,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Valve,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Valve,DefinedOpeningKvRelationShipType,DWSIM.UnitOperations.UnitOperations.Valve+OpeningKvRelationshipType,"Linear,EqualPercentage,QuickOpening,UserDefined,DataTable"
Valve,FlowCoefficient,DWSIM.UnitOperations.UnitOperations.Valve+FlowCoefficientType,"Kv,Cv"
Valve,CalcMode,DWSIM.UnitOperations.UnitOperations.Valve+CalculationMode,"DeltaP,OutletPressure,Kv_Liquid,Kv_Gas,Kv_Steam,Kv_General"
Valve,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
Vessel,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
Vessel,CalculationMode,DWSIM.UnitOperations.UnitOperations.Vessel+CalculationModes,"Adiabatic,Legacy,HeatingCoolingIsothermic,HeatingCoolingIsobaric"
Vessel,PressureCalculation,DWSIM.UnitOperations.UnitOperations.Vessel+PressureBehavior,"Average,Maximum,Minimum"
Vessel,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
WaterElectrolyzer,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
WaterElectrolyzer,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
WindTurbine,ObjectClass,DWSIM.Interfaces.Enums.SimulationObjectClass,"Streams,PressureChangers,Separators,MixersSplitters,Exchangers,Reactors,Columns,Solids,CAPEOPEN,UserModels,Logical,Other,Indicators,Controllers,Switches,Inputs,None,CleanPowerSources,Electrolyzers"
WindTurbine,DynamicsSpec,DWSIM.Interfaces.Enums.Dynamics+DynamicsSpecType,"Pressure,Flow"
